 ,Label,Area,Mean,Min,Max,Perim.,Major,Minor,Angle
1437,,273.264,255,255,255,58.063,20.838,16.697,109.741
1438,,484.823,255,255,255,78.336,26.542,23.257,93.310
1439,,352.598,255,255,255,65.740,21.567,20.817,152.103
1440,,379.043,255,255,255,72.398,24.040,20.075,37.217
1441,,520.083,255,255,255,81.815,30.085,22.011,7.518
1442,,352.598,255,255,255,64.001,22.712,19.767,40.915
1443,,758.087,255,255,255,100.349,33.658,28.677,155.523
1444,,546.528,255,255,255,84.274,27.019,25.754,105.065
1445,,308.524,255,255,255,64.001,21.893,17.943,89.032
1446,,405.488,255,255,255,69.939,24.402,21.157,107.262
1447,,423.118,255,255,255,74.138,23.993,22.453,77.572
1448,,88.150,255,255,255,31.131,12.463,9.005,180.000
1449,,396.673,255,255,255,70.659,25.029,20.179,49.930
1450,,493.638,255,255,255,80.076,26.561,23.664,168.999
1451,,520.083,255,255,255,82.535,26.673,24.826,69.788
1452,,299.709,255,255,255,61.541,21.233,17.972,109.647
1453,,317.339,255,255,255,65.740,21.688,18.630,135.000
1454,,361.413,255,255,255,68.200,24.092,19.100,115.147
1455,,537.713,255,255,255,82.535,29.525,23.188,110.030
1456,,502.453,255,255,255,80.796,28.379,22.543,95.156
1457,,405.488,255,255,255,69.939,24.675,20.923,58.332
1458,,255.634,255,255,255,55.603,19.441,16.742,35.450
1459,,449.563,255,255,255,74.138,25.972,22.039,46.458
1460,,132.224,255,255,255,38.808,13.833,12.171,135.000
1461,,537.713,255,255,255,82.535,28.713,23.844,143.922
1462,,546.528,255,255,255,84.274,30.176,23.060,79.317
1463,,484.823,255,255,255,80.076,26.478,23.314,93.741
1464,,405.488,255,255,255,69.939,24.402,21.157,162.738
1465,,352.598,255,255,255,67.479,24.916,18.019,83.176
1466,,308.524,255,255,255,63.280,21.389,18.365,33.842
1467,,343.783,255,255,255,71.678,25.693,17.037,148.305
1468,,458.378,255,255,255,74.138,24.158,24.158,0.000
1469,,308.524,255,255,255,61.541,21.195,18.534,165.443
1470,,431.933,255,255,255,73.417,24.833,22.146,100.618
1471,,405.488,255,255,255,73.417,24.014,21.499,142.884
1472,,476.008,255,255,255,78.336,29.073,20.847,106.926
1473,,546.528,255,255,255,86.734,29.407,23.663,24.486
1474,,484.823,255,255,255,80.076,26.480,23.312,85.206
